# Soundist 电台音频完整下载地址
# 来源：prototypes/mobile-interactive/src/app/radioCatalog.ts
# 开放精选频道：24
# 曲目位置：312
# 去重音频：294
# 格式：ID | 标题 | 直接下载地址 | 来源页面

albinoni-oboe-one | D小调双簧管协奏曲 I | https://commons.wikimedia.org/wiki/Special:Redirect/file/Albinoni%2C%20Concerto%20for%20Oboe%20and%20Strings%20No.%202%20in%20D%20minor%2C%20Op.%209%2C%20I.%20Allegro%20e%20con%20presto.ogg | https://commons.wikimedia.org/wiki/File:Albinoni%2C%20Concerto%20for%20Oboe%20and%20Strings%20No.%202%20in%20D%20minor%2C%20Op.%209%2C%20I.%20Allegro%20e%20con%20presto.ogg
albinoni-oboe-three | D小调双簧管协奏曲 III | https://commons.wikimedia.org/wiki/Special:Redirect/file/Albinoni%2C%20Concerto%20for%20Oboe%20and%20Strings%20No.%202%20in%20D%20minor%2C%20Op.%209%2C%20III.%20Allegro.ogg | https://commons.wikimedia.org/wiki/File:Albinoni%2C%20Concerto%20for%20Oboe%20and%20Strings%20No.%202%20in%20D%20minor%2C%20Op.%209%2C%20III.%20Allegro.ogg
albinoni-oboe-two | D小调双簧管协奏曲 II：柔板 | https://commons.wikimedia.org/wiki/Special:Redirect/file/Albinoni%2C%20Concerto%20for%20Oboe%20and%20Strings%20No.%202%20in%20D%20minor%2C%20Op.%209%2C%20II.%20Adagio.ogg | https://commons.wikimedia.org/wiki/File:Albinoni%2C%20Concerto%20for%20Oboe%20and%20Strings%20No.%202%20in%20D%20minor%2C%20Op.%209%2C%20II.%20Adagio.ogg
ambient-brenticus | Ambient | https://commons.wikimedia.org/wiki/Special:Redirect/file/Brenticus%20-%20Ambient.ogg | https://commons.wikimedia.org/wiki/File:Brenticus%20-%20Ambient.ogg
ambient-dance-zeropage | Ambient Dance | https://commons.wikimedia.org/wiki/Special:Redirect/file/Ambient%20Dance%20by%20Zeropage.ogg | https://commons.wikimedia.org/wiki/File:Ambient%20Dance%20by%20Zeropage.ogg
ambient-guitar-dust | Dust | https://opengameart.org/sites/default/files/Dust_1.mp3 | https://opengameart.org/content/soundscape-dust-ambient-guitar
ambient-india-zeropage | Ambient India | https://commons.wikimedia.org/wiki/Special:Redirect/file/Ambient%20India%20by%20Zeropage.ogg | https://commons.wikimedia.org/wiki/File:Ambient%20India%20by%20Zeropage.ogg
ambient-pad-i | Ambient Pad I | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_i.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-ii | Ambient Pad II | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_ii.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-iv | Ambient Pad IV | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_iv.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-ix | Ambient Pad IX | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_ix.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-v | Ambient Pad V | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_v.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-vi | Ambient Pad VI | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_vi.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-vii | Ambient Pad VII | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_vii.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-viii | Ambient Pad VIII | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_viii.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-pad-x | Ambient Pad X | https://opengameart.org/sites/default/files/gregor_quendel_-_ambient_pad_-_x.mp3 | https://opengameart.org/content/ambient-vol-1
ambient-relax-background-one | Quiet Background | https://opengameart.org/sites/default/files/relax_background1_0.ogg | https://opengameart.org/content/relaxbackground1
ambient-sunset-walk | Sunset Walk | https://opengameart.org/sites/default/files/SunsetWalk.ogg | https://opengameart.org/content/sunset-walk-ambient-quiet-sweet-loop
ambient-voyager | Ambient Voyager | https://commons.wikimedia.org/wiki/Special:Redirect/file/Ambient%20Voyager%20by%20Zeropage.ogg | https://commons.wikimedia.org/wiki/File:Ambient%20Voyager%20by%20Zeropage.ogg
ambient-zero-point | Zero Point | https://commons.wikimedia.org/wiki/Special:Redirect/file/Dreamstate%20Logic%20-%20Zero%20Point%20(space%20ambient%2C%20dark%20ambient).ogg | https://commons.wikimedia.org/wiki/File:Dreamstate%20Logic%20-%20Zero%20Point%20(space%20ambient%2C%20dark%20ambient).ogg
