track_id	source_ext	source_bytes	source_sha256	opus_bitrate_kbps	opus_bytes	opus_sha256	duration_ms	channels
albinoni-oboe-one	ogg	4294458	9ce25f383f84b5d30ee1bbe1f9a4b76a83c47c435afa940d468e75f69418860f	128	3996114	a56318cda9b1de2f1626e4ce8002c56d39670ea11ab6edb6dd53206818979336	229626	2
albinoni-oboe-three	ogg	3751918	73c4dfdb6f45dcc7e7e7e4785610444d516f7ff3b95ce6a245e18d75c477becb	128	3474149	3a4b82b380adabf83250b6f99721b3ed4c2ea9d6957618a8a63e36dc7a4b28ff	205332	2
albinoni-oboe-two	ogg	4544115	973d4afdbff655ba428f161f4f6326adc0737693720322058c0987ee7a9e4c0c	128	4713150	1990b26f97d0c1e184e464f18e18fc17c92ce20b31cc78057936462b96057c7e	257760	2
ambient-brenticus	ogg	4504688	e8a2751f2a5032529e84e018e4abd190e4167556038acbd224ced4ad219def8a	96	3434113	d05a1f25465d46a4681488864c38ac5b9cd20b921145e1ed9c0aa281545d9678	264682	2
ambient-dance-zeropage	ogg	5531951	32e5876fe9b0a2087d52ed4b0e6a97cf6055508edf11d0a8edab530b7efb5a46	96	3012420	0efd1cb24f84da73c1133b14bd3ef064661ce9361ebbbf59561f98e34d79b6b3	228759	2
ambient-guitar-dust	mp3	8424318	4a24adedba90364887322db6df0b9c365567adf7ea96bf83aa95188b7f29f6cd	96	2893506	a78c6fcbc97f74588e1b7184f922c4c1556d4b73df64f398cb66d7a4cac02771	210506	2
ambient-india-zeropage	ogg	9511526	fec9a52a9b958e5fd7c0c786432759039ebc4e8602f0f9db64513d2eee31ea1b	96	4855476	047f8d23e6035882339cb68e9618364e046b423fc3b22543dc4bc64f622946a1	386191	2
ambient-pad-i	mp3	1798394	12ad0144f6ed8101d83d70533586ab785094a7aeeac89edb5593cd165e0b2006	96	1013694	f26a91c286fb2f258573f7156213960d90f7d2a4fa0d325b4b40410b4aa2fbac	74804	2
ambient-pad-ii	mp3	3254773	5e983cf072d2f7aa81a988e195b46eac737cc0e733a211439c31f3fd96cf1cee	96	1905314	a5230e72fa906bb2c26fc550a9c6864b363fbc05eb065cf53a360892ee3fc98f	135479	2
ambient-pad-iv	mp3	3543165	7d4ed1682cb26c0376b92fbfba14338761a9fd4b80454fb535c65452fd909ee9	96	1747081	9951a8468f4aa183d3a2f587d4948d9c9e93b8930bc6d4903065d68b6d874ca6	147503	2
ambient-pad-ix	mp3	3472529	4d2ffd8d84df063cdb46793b8869b0acc9e303ba8bd41d8316db03011799dafe	96	1841158	0a1d4605a6a3180d00968ecbc8371bac5f2e48e801c859f42672a58a709318e5	144566	2
ambient-pad-v	mp3	7539125	7c9a1b674a8525b6cca90a5d834b6e31e21a358e523b099802acef45c87e8a93	96	3444100	1f0eed92b1caa00eef6a3629209e01cc6547a0d5a24872bf2b1e916a1262caaa	314006	2
ambient-pad-vi	mp3	7539125	a8ec0b1a2181b1dcb27603eba8fd90c20c6d397831abea499e4ba85a33504a5c	96	3675975	ca9f8e2e1cbfd2a3a52a70a43735c9fbff545128f659a216a7efee7f1702b006	314006	2
ambient-pad-vii	mp3	4298099	958e803d25716863fd53419f08d0026edeab0eb5f17b6ae967ffae4e475c69e4	96	2671974	d4a8426d07fe1629d87b891ca23c2bda067ad8121de357cbd0191989665e2da0	178993	2
ambient-pad-viii	mp3	3477713	28deaf0bb179a5511f3a7281722902c6ef1fc3f294d09cb64e73d39ed0db8667	96	2037148	24300529cc36820f9b93b3cb79224e7b664728248a1c3ed2a2034c3c64a736d7	144776	2
ambient-pad-x	mp3	2577052	1982779763d2e1c75b9e4c5a2662dcb4181b251366c5b5208d678928eecc6b02	96	1182792	2937383bfdb4b6e80e3dd7b1cff86aafff63c747438791190d1ddbbe08b68c9b	107257	2
ambient-relax-background-one	ogg	1754942	b362bd0017400836b6dc4b4c581e7516c8e1e4bff1b97e1107e14ae00d02f751	96	769365	c7c08dde39220054a87ead227dc77ec19e95bafbdee26699a6b9a3f963fdbf75	62688	2
ambient-sunset-walk	ogg	1828550	1d230721e6200276065b913e44943d0e0503af88fc2dd793be1249738e06d98c	96	1055868	d96432d0336d43df5034b5aa6c85765f4687e25a9825d14a548f935dc566f1a9	76809	2
ambient-voyager	ogg	6012641	f7d0bb45dfeb5eecea9826daa752dca632b40f0f9f925bfcebb458651434f2fa	96	3080537	b7d04eccff34b4516a56e9dfb51ae1b433bb46d9485c02f490231cc2bda4d8b6	235209	2
